City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
465,Saint-Georges,GD,76.68,shower rain,12.0564,-61.7485,Radisson Grenada Beach Resort
466,Apiai,BR,57.61,clear sky,-24.5094,-48.8425,Pousada Villa Branca
467,Tura,IN,60.24,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
469,Asfi,MA,64.67,scattered clouds,32.2994,-9.2372,Hôtel Abda
470,Katsuura,JP,58.98,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
474,Tallahassee,US,56.86,overcast clouds,30.4383,-84.2807,Four Points by Sheraton Tallahassee Downtown
475,Laguna,US,68.29,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
476,Lecco,IT,51.06,scattered clouds,45.8533,9.3905,Hotel NH Pontevecchio
478,Itarema,BR,79.05,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
479,Obernai,FR,51.4,overcast clouds,48.4631,7.481,Le Parc Hôtel Obernai & Spa
481,Putina,PE,50.29,scattered clouds,-15.4667,-69.4333,Hotel Isla Suasi
482,Winslow,US,48.38,clear sky,35.0242,-110.6974,Best Western Plus Winslow Inn
483,San Gabriel Casa Blanca,MX,76.35,few clouds,18.15,-97.1333,
484,Alice Springs,AU,67.55,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
485,Shenjiamen,CN,63.84,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
488,Tiangua,BR,72.01,clear sky,-3.7322,-40.9917,HOTEL SÃO FRANCISCO - TIANGUÁ/CE
489,Nan,TH,69.82,mist,18.8333,100.6667,สะเนียน2
490,Hasaki,JP,50.22,scattered clouds,35.7333,140.8333,Inubosaki Kanko Hotel
492,Sur,OM,75.92,clear sky,22.5667,59.5289,Sur Plaza Hotel
493,Branistea,RO,49.39,overcast clouds,44.6833,25.5833,Bosnac
495,Faanui,PF,79.34,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
496,Mpraeso,GH,70.52,broken clouds,6.5932,-0.7346,JAYS Lodge
497,San Quintin,MX,66.6,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
498,Ginir,ET,53.62,clear sky,7.1333,40.7,Sura Dare Village
500,Kisangani,CD,68.27,light rain,0.5167,25.2,Grand Ramela Hotel
504,Bathurst,AU,52.72,clear sky,-33.4166,149.5806,Bathurst Motor Inn
505,Benguela,AO,74.1,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
508,Mingguang,CN,53.78,overcast clouds,32.7802,117.9638,Yonghao Hotel
509,Oruro,BO,66.69,few clouds,-17.9833,-67.15,Eden by BlueBay
510,Peterhead,GB,50.4,moderate rain,57.5058,-1.7981,Palace Hotel
511,Bure,ET,53.71,scattered clouds,10.7,37.0667,Holiday
512,Mananjary,MG,71.82,light rain,-21.2167,48.3333,Vahiny Lodge
514,Phangnga,TH,77.04,overcast clouds,8.4509,98.5298,Sunimit Mansion
515,Lata,PT,63.07,light rain,40.1629,-8.3327,Terraços da Beira
